Config_ID,Config_Name,Index_Type,Datastore,Compression,Query_Processing,Optimization,Index_Time_Seconds,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Throughput_Single_Thread_QPS,Throughput_Multi_Thread_QPS,Throughput_Speedup_Factor,Memory_Index_Size_MB,Memory_Docs_Per_MB,Memory_Growth_MB,Functional_MAP,Functional_Recall,Functional_F1_Score,Functional_NDCG,Functional_Coverage_Rate,Latency_Boolean_Queries_Mean_ms,Latency_Boolean_Queries_P95_ms,Latency_Common_Terms_Mean_ms,Latency_Common_Terms_P95_ms,Latency_Empty_No_Results_Mean_ms,Latency_Empty_No_Results_P95_ms,Latency_Long_Queries_Mean_ms,Latency_Long_Queries_P95_ms,Latency_Multi_Term_Mean_ms,Latency_Multi_Term_P95_ms,Latency_Phrase_Queries_Mean_ms,Latency_Phrase_Queries_P95_ms,Latency_Rare_Terms_Mean_ms,Latency_Rare_Terms_P95_ms,Latency_Single_Term_Mean_ms,Latency_Single_Term_P95_ms
50,SelfIndex_050_TFID_CUST_NONE_Null_DOCa,TFIDF,CUSTOM,NONE,DOCatat,Null,45.17,57.3,22.01,361.44,394.3,0.05,407.59,31.18,32.86,1.054,634.05,78.86,4451.03,0.5,1.5,0.7473,0.9367,1.0,43.4,71.02,21.6,39.79,0.07,0.09,364.06,402.95,59.72,103.72,36.78,68.27,0.82,2.11,16.76,31.87
51,SelfIndex_051_TFID_CUST_NONE_Skip_TERM,TFIDF,CUSTOM,NONE,TERMatat,Skipping,51.22,24.03,14.81,107.16,118.29,0.06,122.09,7.84,40.14,5.118,638.74,78.28,4496.28,0.5,1.5,0.7473,0.9367,1.0,22.99,36.87,15.86,30.06,0.07,0.1,109.43,120.76,30.07,52.57,21.26,39.98,0.7,1.71,12.12,22.81
52,SelfIndex_052_TFID_CUST_NONE_Skip_DOCa,TFIDF,CUSTOM,NONE,DOCatat,Skipping,48.9,8.85,7.81,22.52,26.79,0.05,27.06,33.1,84.03,2.539,638.74,78.28,4384.73,0.5333,1.5833,0.7949,0.8807,1.0,10.37,17.99,11.73,21.52,0.07,0.1,19.13,26.1,10.61,22.69,9.05,18.13,0.55,1.29,8.66,14.93
53,SelfIndex_053_TFID_CUST_CODE_Null_TERM,TFIDF,CUSTOM,CODE,TERMatat,Null,78.37,27.92,15.09,132.67,143.37,0.05,143.49,19.59,39.47,2.015,574.3,87.06,7038.55,0.5,1.5,0.7473,0.9367,1.0,25.16,44.24,17.64,33.49,0.08,0.11,134.83,143.45,35.4,66.58,22.31,43.12,0.82,1.81,13.25,25.09
54,SelfIndex_054_TFID_CUST_CODE_Null_DOCa,TFIDF,CUSTOM,CODE,DOCatat,Null,78.21,66.6,23.59,409.15,473.47,0.05,488.53,17.72,29.64,1.672,574.3,87.06,6979.89,0.5,1.5,0.7473,0.9367,1.0,46.02,75.12,24.99,46.58,0.08,0.1,427.11,483.28,73.88,133.8,40.65,77.46,0.88,2.31,18.66,33.64
55,SelfIndex_055_TFID_CUST_CODE_Skip_TERM,TFIDF,CUSTOM,CODE,TERMatat,Skipping,76.6,28.13,16.27,133.37,145.52,0.06,151.06,7.66,37.45,4.888,574.3,87.06,7009.36,0.5,1.5,0.7473,0.9367,1.0,23.53,37.89,18.75,34.04,0.09,0.11,136.41,149.13,36.11,69.45,22.86,43.61,0.89,2.16,12.81,24.06
56,SelfIndex_056_TFID_CUST_CODE_Skip_DOCa,TFIDF,CUSTOM,CODE,DOCatat,Skipping,84.15,14.05,11.79,49.5,53.66,0.05,54.29,46.86,59.64,1.273,574.3,87.06,6939.92,0.5333,1.5833,0.7949,0.8807,1.0,13.49,22.82,15.1,27.28,0.07,0.1,45.87,52.43,19.02,45.14,11.44,22.85,0.69,1.66,11.19,20.19
57,SelfIndex_057_TFID_CUST_CLIB_Null_TERM,TFIDF,CUSTOM,CLIB,TERMatat,Null,82.13,22.79,14.32,97.85,114.57,0.05,119.55,29.14,17.41,0.597,269.76,185.35,1833.49,0.5,1.5,0.7473,0.9367,1.0,16.97,27.01,14.61,28.03,0.08,0.11,104.98,117.82,32.46,63.81,15.44,28.92,0.89,2.21,14.69,27.19
58,SelfIndex_058_TFID_CUST_CLIB_Null_DOCa,TFIDF,CUSTOM,CLIB,DOCatat,Null,84.03,63.47,23.03,350.83,571.21,0.05,715.44,25.58,20.86,0.816,269.76,185.35,1893.09,0.5,1.5,0.7473,0.9367,1.0,38.63,65.89,20.97,38.39,0.07,0.09,439.32,665.13,62.21,117.18,31.02,58.07,1.05,2.77,18.82,34.36
59,SelfIndex_059_TFID_CUST_CLIB_Skip_TERM,TFIDF,CUSTOM,CLIB,TERMatat,Skipping,85.2,22.64,14.29,97.81,115.4,0.05,120.33,27.15,17.26,0.636,269.76,185.35,1902.18,0.5,1.5,0.7473,0.9367,1.0,16.58,26.14,14.32,27.35,0.07,0.1,105.46,118.61,32.34,63.56,15.42,29.23,0.88,2.16,14.19,26.43
60,SelfIndex_060_TFID_CUST_CLIB_Skip_DOCa,TFIDF,CUSTOM,CLIB,DOCatat,Skipping,85.7,11.9,9.1,40.37,46.39,0.05,47.99,81.19,39.26,0.484,269.76,185.35,1826.94,0.5333,1.5833,0.7949,0.8807,1.0,8.23,13.74,12.93,25.66,0.07,0.09,37.15,43.91,17.18,41.19,7.18,14.13,1.56,5.38,12.59,23.14
61,SelfIndex_061_TFID_DB1_NONE_Null_TERM,TFIDF,DB1,NONE,TERMatat,Null,49.46,23.81,14.37,106.17,117.37,0.05,120.43,30.6,45.05,1.472,791.15,63.2,4232.12,0.5,1.5,0.7473,0.9367,1.0,22.9,36.64,15.75,29.78,0.07,0.1,108.61,119.36,30.06,52.52,21.21,40.34,0.71,1.73,11.53,21.0
62,SelfIndex_062_TFID_DB1_NONE_Null_DOCa,TFIDF,DB1,NONE,DOCatat,Null,45.54,156.32,21.5,373.96,2691.46,0.05,4411.7,32.17,30.53,0.949,791.15,63.2,4153.38,0.5,1.5,0.7473,0.9367,1.0,42.64,71.03,21.6,39.67,0.07,0.1,362.89,405.62,789.23,3338.13,35.53,66.07,0.83,2.12,16.27,29.16
63,SelfIndex_063_TFID_DB1_NONE_Skip_TERM,TFIDF,DB1,NONE,TERMatat,Skipping,46.57,23.94,14.57,106.97,117.48,0.06,120.98,10.79,46.7,4.328,796.56,62.77,4101.12,0.5,1.5,0.7473,0.9367,1.0,23.08,36.89,16.47,30.92,0.08,0.1,108.85,119.76,30.1,52.72,21.06,39.77,0.71,1.71,11.55,21.02
64,SelfIndex_064_TFID_DB1_NONE_Skip_DOCa,TFIDF,DB1,NONE,DOCatat,Skipping,48.61,8.92,7.78,22.38,27.6,0.05,28.18,34.02,70.58,2.075,796.56,62.77,4084.0,0.5333,1.5833,0.7949,0.8807,1.0,10.46,18.11,11.8,21.54,0.07,0.1,19.29,27.08,10.79,22.96,9.02,18.26,0.54,1.25,8.71,15.66
65,SelfIndex_065_TFID_DB1_CODE_Null_TERM,TFIDF,DB1,CODE,TERMatat,Null,74.2,27.12,15.37,126.62,136.63,0.06,141.85,20.23,41.66,2.059,740.68,67.51,6785.62,0.5,1.5,0.7473,0.9367,1.0,23.65,38.07,17.47,33.15,0.08,0.11,128.76,140.03,36.05,67.03,22.3,43.42,0.78,1.91,12.52,22.61
66,SelfIndex_066_TFID_DB1_CODE_Null_DOCa,TFIDF,DB1,CODE,DOCatat,Null,74.23,65.2,23.4,415.26,456.73,0.05,474.13,18.41,24.88,1.351,740.68,67.51,6766.75,0.5,1.5,0.7473,0.9367,1.0,46.82,77.87,24.91,45.98,0.07,0.1,420.08,468.06,69.14,127.53,39.22,75.08,0.95,2.5,18.61,33.82
67,SelfIndex_067_TFID_DB1_CODE_Skip_TERM,TFIDF,DB1,CODE,TERMatat,Skipping,73.39,27.16,15.16,125.77,137.82,0.06,144.2,12.66,9.71,0.767,740.68,67.51,6757.51,0.5,1.5,0.7473,0.9367,1.0,23.67,38.29,17.39,33.24,0.08,0.11,128.82,141.97,35.95,68.27,22.35,44.14,0.76,1.83,12.8,24.04
68,SelfIndex_068_TFID_DB1_CODE_Skip_DOCa,TFIDF,DB1,CODE,DOCatat,Skipping,67.8,13.82,11.59,48.14,50.1,0.05,51.29,18.25,77.77,4.262,740.68,67.51,6703.14,0.5333,1.5833,0.7949,0.8807,1.0,13.36,22.28,14.6,26.75,0.08,0.11,46.89,50.88,17.85,40.5,11.48,22.31,0.62,1.5,10.77,18.96
69,SelfIndex_069_TFID_DB1_CLIB_Null_TERM,TFIDF,DB1,CLIB,TERMatat,Null,84.35,22.65,14.28,96.56,115.09,0.05,119.17,24.6,16.61,0.675,375.19,133.27,1504.62,0.5,1.5,0.7473,0.9367,1.0,16.54,26.03,14.66,28.03,0.07,0.1,105.34,117.74,32.42,63.8,15.44,29.23,0.86,2.13,14.01,26.3
70,SelfIndex_070_TFID_DB1_CLIB_Null_DOCa,TFIDF,DB1,CLIB,DOCatat,Null,87.87,56.65,22.91,352.36,400.42,0.05,416.03,37.1,20.62,0.556,375.19,133.27,1571.26,0.5,1.5,0.7473,0.9367,1.0,38.59,65.56,20.75,38.16,0.07,0.09,364.68,410.58,62.05,115.22,31.32,58.26,1.02,2.67,18.75,34.67
71,SelfIndex_071_TFID_DB1_CLIB_Skip_TERM,TFIDF,DB1,CLIB,TERMatat,Skipping,87.58,25.99,14.66,114.32,137.19,0.06,148.73,27.55,18.31,0.665,375.19,133.27,1541.75,0.5,1.5,0.7473,0.9367,1.0,22.08,35.41,17.98,33.45,0.1,0.14,121.7,144.71,36.88,66.18,15.4,29.18,0.96,2.33,14.82,27.62
72,SelfIndex_072_TFID_DB1_CLIB_Skip_DOCa,TFIDF,DB1,CLIB,DOCatat,Skipping,88.27,11.96,8.83,40.15,47.7,0.05,48.41,81.48,37.98,0.466,375.19,133.27,1570.2,0.5333,1.5833,0.7949,0.8807,1.0,8.07,13.45,12.71,25.06,0.07,0.09,37.62,45.98,17.4,41.54,7.09,13.98,1.29,4.26,13.01,24.06
