Config_ID,Config_Name,Index_Type,Datastore,Compression,Query_Processing,Optimization,Index_Time_Seconds,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Throughput_Single_Thread_QPS,Throughput_Multi_Thread_QPS,Throughput_Speedup_Factor,Memory_Index_Size_MB,Memory_Docs_Per_MB,Memory_Growth_MB,Functional_MAP,Functional_Recall,Functional_F1_Score,Functional_NDCG,Functional_Coverage_Rate,Latency_Boolean_Queries_Mean_ms,Latency_Boolean_Queries_P95_ms,Latency_Common_Terms_Mean_ms,Latency_Common_Terms_P95_ms,Latency_Empty_No_Results_Mean_ms,Latency_Empty_No_Results_P95_ms,Latency_Long_Queries_Mean_ms,Latency_Long_Queries_P95_ms,Latency_Multi_Term_Mean_ms,Latency_Multi_Term_P95_ms,Latency_Phrase_Queries_Mean_ms,Latency_Phrase_Queries_P95_ms,Latency_Rare_Terms_Mean_ms,Latency_Rare_Terms_P95_ms,Latency_Single_Term_Mean_ms,Latency_Single_Term_P95_ms
28,SelfIndex_028_WORD_CUST_NONE_Skip_DOCa,WORDCOUNT,CUSTOM,NONE,DOCatat,Skipping,44.6,13.38,12.49,37.0,43.08,0.06,44.64,29.94,53.58,1.79,394.06,126.88,2833.05,0.5333,1.5833,0.7949,0.8807,1.0,14.9,25.46,16.85,31.15,0.08,0.1,35.17,44.09,15.55,31.87,12.8,25.87,0.62,1.52,12.31,22.13
29,SelfIndex_029_WORD_CUST_CODE_Null_TERM,WORDCOUNT,CUSTOM,CODE,TERMatat,Null,68.91,26.74,15.34,124.85,134.97,0.06,140.11,19.4,37.98,1.958,487.73,102.52,5948.1,0.5,1.5,0.7473,0.9367,1.0,23.48,38.17,17.7,32.99,0.08,0.1,126.1,138.32,34.97,65.64,22.42,43.88,0.77,1.84,12.43,22.65
30,SelfIndex_030_WORD_CUST_CODE_Null_DOCa,WORDCOUNT,CUSTOM,CODE,DOCatat,Null,69.37,30.72,17.03,144.03,159.03,0.06,165.82,12.93,33.18,2.567,487.73,102.52,5846.46,0.5,1.5,0.7473,0.9367,1.0,27.18,44.38,19.15,36.5,0.08,0.11,148.07,163.45,40.5,78.11,24.62,48.95,0.79,1.94,14.11,25.83
31,SelfIndex_031_WORD_CUST_CODE_Skip_TERM,WORDCOUNT,CUSTOM,CODE,TERMatat,Skipping,73.77,26.9,15.14,124.37,135.37,0.06,141.02,20.71,39.79,1.921,487.73,102.52,5899.1,0.5,1.5,0.7473,0.9367,1.0,23.86,38.49,17.66,33.02,0.08,0.11,127.41,139.05,34.98,66.06,22.5,43.94,0.76,1.83,12.38,22.3
32,SelfIndex_032_WORD_CUST_CODE_Skip_DOCa,WORDCOUNT,CUSTOM,CODE,DOCatat,Skipping,69.7,13.26,11.06,45.73,49.03,0.05,49.64,34.94,62.44,1.787,487.73,102.52,5758.07,0.5333,1.5833,0.7949,0.8807,1.0,12.8,21.45,14.11,25.58,0.08,0.09,44.18,49.43,17.13,38.55,10.81,21.65,0.77,2.21,10.7,19.22
33,SelfIndex_033_WORD_CUST_CLIB_Null_TERM,WORDCOUNT,CUSTOM,CLIB,TERMatat,Null,68.52,19.43,12.44,84.7,105.41,0.05,108.33,29.89,18.8,0.629,240.88,207.57,2780.34,0.5,1.5,0.7473,0.9367,1.0,15.24,24.33,12.27,22.38,0.07,0.09,94.23,107.31,25.76,49.65,14.07,25.83,0.74,1.84,10.56,19.09
34,SelfIndex_034_WORD_CUST_CLIB_Null_DOCa,WORDCOUNT,CUSTOM,CLIB,DOCatat,Null,72.75,19.39,12.72,84.39,99.41,0.05,104.22,28.51,17.79,0.624,240.88,207.57,2785.31,0.5,1.5,0.7473,0.9367,1.0,15.53,25.13,12.47,22.92,0.07,0.09,90.8,102.54,26.41,50.68,14.49,26.56,0.75,1.82,10.9,20.03
35,SelfIndex_035_WORD_CUST_CLIB_Skip_TERM,WORDCOUNT,CUSTOM,CLIB,TERMatat,Skipping,73.42,19.12,12.5,82.65,96.75,0.05,100.89,32.22,17.86,0.554,240.88,207.57,2692.05,0.5,1.5,0.7473,0.9367,1.0,15.28,24.23,12.44,22.67,0.07,0.09,88.94,99.45,26.13,50.13,14.38,26.28,0.74,1.83,10.84,19.93
36,SelfIndex_036_WORD_CUST_CLIB_Skip_DOCa,WORDCOUNT,CUSTOM,CLIB,DOCatat,Skipping,73.59,9.91,7.9,29.74,46.06,0.05,55.05,85.05,38.6,0.454,240.88,207.57,2672.64,0.5333,1.5833,0.7949,0.8807,1.0,7.52,12.37,10.59,19.81,0.07,0.09,27.88,33.6,17.12,46.36,6.34,12.39,1.1,3.65,9.45,17.47
37,SelfIndex_037_WORD_DB1_NONE_Null_TERM,WORDCOUNT,DB1,NONE,TERMatat,Null,46.16,24.73,15.15,110.77,120.56,0.06,124.97,47.91,29.44,0.615,532.21,93.95,2480.38,0.5,1.5,0.7473,0.9367,1.0,24.0,39.13,16.17,30.08,0.09,0.11,112.48,123.43,31.28,56.16,22.0,41.87,0.75,1.78,12.11,21.47
